location,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita
south region,2005,1.26,0.29,0.65,2.2
south region,2004,1.27,0.29,0.64,2.19
south region,2003,1.27,0.27,0.64,2.18
south region,2002,1.28,0.26,0.62,2.16
south region,2001,1.29,0.25,0.6,2.14
south region,2000,1.3,0.25,0.61,2.17
south region,1999,1.3,0.25,0.6,2.15
south region,1998,1.3,0.24,0.6,2.13
south region,1997,1.3,0.23,0.6,2.13
south region,1996,1.3,0.23,0.61,2.15
south region,1995,1.29,0.22,0.61,2.12
south region,1994,1.31,0.22,0.64,2.16
south region,1993,1.33,0.22,0.66,2.2
south region,1992,1.33,0.23,0.69,2.26
south region,1991,1.31,0.23,0.69,2.23
south region,1990,1.36,0.26,0.74,2.36
south region,1989,1.33,0.26,0.74,2.33
south region,1988,1.34,0.27,0.74,2.35
south region,1987,1.34,0.27,0.77,2.39
south region,1986,1.36,0.28,0.79,2.43
south region,1985,1.34,0.27,0.86,2.47
south region,1984,1.34,0.27,0.9,2.51
south region,1983,1.36,0.25,0.91,2.52
south region,1982,1.37,0.23,0.94,2.54
south region,1981,1.36,0.24,0.98,2.58
south region,1980,1.3,0.23,0.97,2.5
south region,1979,1.27,0.2,0.99,2.46
south region,1978,1.25,0.19,1,2.44
south region,1977,1.21,0.19,0.98,2.37
west region,2016,1.03,0.55,0.84,2.42
west region,2015,1.05,0.52,0.82,2.38
west region,2014,1.06,0.55,0.8,2.41
west region,2013,1.04,0.55,0.81,2.41
west region,2012,1.05,0.57,0.81,2.42
west region,2011,1.04,0.54,0.78,2.36
west region,2010,1.06,0.48,0.76,2.31
west region,2009,1.11,0.52,0.76,2.38
west region,2008,1.15,0.51,0.76,2.42
west region,2007,1.17,0.49,0.76,2.42
west region,2006,1.13,0.51,0.76,2.4
west region,2005,1.14,0.5,0.73,2.36
west region,2004,1.17,0.48,0.71,2.35
west region,2003,1.17,0.46,0.69,2.32
west region,2002,1.18,0.44,0.68,2.3
west region,2001,1.19,0.43,0.68,2.3
west region,2000,1.21,0.43,0.68,2.32
west region,1999,1.2,0.43,0.65,2.29
west region,1998,1.19,0.43,0.64,2.26
west region,1997,1.2,0.44,0.65,2.3
west region,1996,1.22,0.43,0.67,2.32
west region,1995,1.23,0.4,0.66,2.29
west region,1994,1.2,0.41,0.7,2.31
west region,1993,1.26,0.42,0.72,2.39
west region,1992,1.33,0.45,0.76,2.54
west region,1991,1.3,0.44,0.76,2.5
west region,1990,1.37,0.5,0.84,2.71
west region,1989,1.35,0.51,0.84,2.69
west region,1988,1.36,0.56,0.86,2.79
west region,1987,1.38,0.62,0.89,2.89
west region,1986,1.39,0.65,0.92,2.96
west region,1985,1.37,0.65,0.99,3.01
west region,1984,1.4,0.61,1.03,3.04
west region,1983,1.42,0.61,1.07,3.1
west region,1982,1.44,0.59,1.1,3.13
west region,1981,1.49,0.6,1.16,3.24
west region,1980,1.47,0.59,1.19,3.24
west region,1979,1.45,0.56,1.2,3.22
west region,1978,1.39,0.55,1.23,3.18
west region,1977,1.35,0.53,1.2,3.08
us total,2016,1.08,0.44,0.83,2.35
us total,2015,1.09,0.42,0.81,2.33
us total,2014,1.1,0.43,0.8,2.32
us total,2013,1.12,0.42,0.79,2.33
us total,2012,1.13,0.42,0.78,2.34
us total,2011,1.12,0.41,0.76,2.29
us total,2010,1.14,0.38,0.74,2.26
us total,2009,1.17,0.39,0.73,2.29
us total,2008,1.2,0.38,0.73,2.31
us total,2007,1.21,0.38,0.72,2.31
us total,2006,1.2,0.37,0.71,2.28
us total,2005,1.2,0.36,0.7,2.25
us total,2004,1.21,0.35,0.68,2.24
us total,2003,1.21,0.34,0.67,2.22
us total,2002,1.23,0.33,0.64,2.2
us total,2001,1.23,0.31,0.64,2.18
us total,2000,1.23,0.31,0.64,2.19
us total,1999,1.23,0.31,0.63,2.17
us total,1998,1.22,0.3,0.62,2.15
us total,1997,1.22,0.3,0.62,2.15
us total,1996,1.23,0.3,0.63,2.16
us total,1995,1.24,0.29,0.63,2.15
us total,1994,1.25,0.28,0.65,2.18
us total,1993,1.26,0.28,0.68,2.23
us total,1992,1.29,0.3,0.71,2.3
us total,1991,1.29,0.3,0.71,2.3
us total,1990,1.34,0.33,0.77,2.45
us total,1989,1.32,0.34,0.78,2.43
us total,1988,1.33,0.36,0.79,2.49
us total,1987,1.34,0.38,0.83,2.55
us total,1986,1.35,0.39,0.84,2.58
us total,1985,1.33,0.38,0.91,2.62
us total,1984,1.35,0.37,0.94,2.65
us total,1983,1.37,0.36,0.96,2.69
us total,1982,1.38,0.36,0.98,2.72
us total,1981,1.39,0.35,1.02,2.76
us total,1980,1.37,0.34,1.04,2.75
us total,1979,1.34,0.31,1.04,2.7
us total,1978,1.3,0.3,1.05,2.66
us total,1977,1.27,0.29,1.04,2.6
